date,adjusted
2016-01-04,104.816719
2016-01-05,104.634834
2016-01-06,103.629753
2016-01-07,100.384743
2016-01-08,99.561531
2016-01-11,99.867844
2016-01-12,101.026085
2016-01-13,97.541763
2016-01-14,99.618942
2016-01-15,96.527092
2016-01-19,96.737686
2016-01-20,96.440941
2016-01-21,96.536667
2016-01-22,99.331772
2016-01-25,97.857658
2016-01-26,98.738297
2016-01-27,96.278221
2016-01-28,97.637474
2016-01-29,99.676384
2016-02-01,99.944405
2016-02-02,97.781075
2016-02-03,97.312027
2016-02-04,97.302444
2016-02-05,93.923416
2016-02-08,92.487595
2016-02-09,92.200417
2016-02-10,92.554573
2016-02-11,92.420578
2016-02-12,93.827682
2016-02-16,95.943199
2016-02-17,98.116089
2016-02-18,96.99614
2016-02-19,97.283318
2016-02-22,98.862732
2016-02-23,97.235458
2016-02-24,98.163933
2016-02-25,99.130753
2016-02-26,99.006325
2016-02-29,98.116089
2016-03-01,101.265388
2016-03-02,101.30368
2016-03-03,101.112221
2016-03-04,101.150513
2016-03-07,100.528313
2016-03-08,99.695541
2016-03-09,100.336853
2016-03-10,100.183723
2016-03-11,101.935432
2016-03-14,102.107742
2016-03-15,102.06945
2016-03-16,102.978813
2016-03-17,102.921394
2016-03-18,103.082687
2016-03-21,103.485924
2016-03-22,103.802742
2016-03-23,102.948273
2016-03-24,102.977066
2016-03-28,102.833061
2016-03-29,104.484383
2016-03-30,104.993233
2016-03-31,104.8396
2016-04-01,105.953293
2016-04-04,105.550064
2016-04-05,104.532379
2016-04-06,106.2509
2016-04-07,104.724411
2016-04-08,104.647598
2016-04-11,104.26355
2016-04-12,105.137222
2016-04-13,106.481339
2016-04-14,106.490936
2016-04-15,106.222107
2016-04-18,106.788551
2016-04-19,106.135735
2016-04-20,106.222107
2016-04-21,106.231728
2016-04-22,104.62838
2016-04-25,104.62838
2016-04-26,104.119545
2016-04-27,103.284286
2016-04-28,102.036201
2016-04-29,101.498558
2016-05-02,102.458649
2016-05-03,101.508179
2016-05-04,100.855309
2016-05-05,100.8265
2016-05-06,101.364143
2016-05-09,101.652161
2016-05-10,103.044289
2016-05-11,102.112999
2016-05-12,101.661781
2016-05-13,101.287338
2016-05-16,102.554649
2016-05-17,101.268143
2016-05-18,101.632973
2016-05-19,101.104935
2016-05-20,102.218628
2016-05-23,102.084221
2016-05-24,104.129158
2016-05-25,104.878006
2016-05-26,105.185219
2016-05-27,105.732475
2016-05-31,105.934059
2016-06-01,105.94371
2016-06-02,106.164505
2016-06-03,105.665276
2016-06-06,106.049301
2016-06-07,105.780472
2016-06-08,105.962898
2016-06-09,105.790085
2016-06-10,104.589989
2016-06-13,103.716339
2016-06-14,103.716339
2016-06-15,103.418716
2016-06-16,103.725937
2016-06-17,102.510124
2016-06-20,103.155083
2016-06-21,103.482368
2016-06-22,103.232117
2016-06-23,104.70491
2016-06-24,100.392349
2016-06-27,98.399712
2016-06-28,100.556007
2016-06-29,102.336861
2016-06-30,103.520882
2016-07-01,104.040703
2016-07-05,103.405388
2016-07-06,104.252495
2016-07-07,104.560539
2016-07-08,106.177734
2016-07-11,106.784203
2016-07-12,107.323273
2016-07-13,107.063347
2016-07-14,107.794937
2016-07-15,107.621681
2016-07-18,108.33403
2016-07-19,107.939339
2016-07-20,109.200386
2016-07-21,108.950104
2016-07-22,109.402542
2016-07-25,109.41217
2016-07-26,109.537308
2016-07-27,110.297791
2016-07-28,110.682838
2016-07-29,110.9235
2016-08-01,111.510674
2016-08-02,110.663551
2016-08-03,111.029381
2016-08-04,111.347038
2016-08-05,112.415558
2016-08-08,112.290421
2016-08-09,112.550323
2016-08-10,112.261543
2016-08-11,112.742859
2016-08-12,112.819862
2016-08-15,113.301163
2016-08-16,112.675476
2016-08-17,112.877625
2016-08-18,112.906494
2016-08-19,112.877625
2016-08-22,112.964256
2016-08-23,113.166412
2016-08-24,112.434807
2016-08-25,112.251923
2016-08-26,112.415558
2016-08-29,112.569588
2016-08-30,112.203781
2016-08-31,112.088264
2016-09-01,112.377052
2016-09-02,112.742859
2016-09-06,113.445587
2016-09-07,113.512962
